cont,reg1,reg2,country,exp_pct_gdp,exp_public_pct,exp_out_pocket,exp_per_capita,exp_per_ppp,ext_health_exp,phys_per_1000,nurse_per_1000,surgical_per_1000,birth_reg,death_reg
Asia,,South-eastern Asia,Iran,8.1,54.5,38.8,415.4,1563.8,0,1.1,1.9,5,99,
Asia,,Western Asia,Iraq,3.3,21.1,78.5,152.6,493.7,0.4,0.8,1.7,7.6,99,65
Europe,,Northern Europe,Ireland,7.4,72.1,13,4758.6,5299.7,0,3.1,14.3,72,100,100
Asia,,Western Asia,United Kingdom,,,,,,,1.4,2.3,52.4,85.4,
Asia,,Western Asia,Israel,7.3,62.5,23,2837.1,2843,1.5,3.2,5.2,75.6,100,100
Europe,,Southern Europe,Italy,8.9,74.5,23.1,2738.7,3427.3,,4.1,5.9,142.4,100,100
North America,Latin America and the Caribbean,Caribbean,Jamaica,6.1,60.6,22.4,296.2,535.7,1.2,1.3,1.1,11.2,98,
Asia,,Eastern Asia,Japan,10.9,83.6,13.5,4233,4592.4,0,2.4,11.5,37.4,100,100
Asia,,Western Asia,Jordan,5.5,63.2,28,223.5,494.8,5.7,2.3,3.4,24.5,98,65
Asia,,Central Asia,Kazakhstan,3.5,58.8,35.6,262,858.8,1.2,3.3,8.5,73.2,100,91
Africa,Sub-Saharan Africa,Eastern Africa,Kenya,4.5,36.2,27.7,66.2,143.5,19.5,0.2,1.5,2.4,66.9,
,,,,11.9,79.6,0.1,188,249.8,17,0.2,4.8,8.2,94,
,,,,,,,,,,3.7,4.4,,100,
Oceania,,,"Korea, South",7.3,59.2,33.3,2043.9,2711.7,0,2.4,7,49.6,,99
,,,,,,,,,,,,27.7,,
Asia,,,Kuwait,3.9,83.9,16.1,1068.3,2899.3,0,2.6,7,,,95
Asia,,,Kyrgyzstan,6.6,39.1,57.6,72.9,240.2,3.3,1.9,6.4,50.1,98,96
Asia,,,Laos,2.4,32.4,46.4,55.2,154.6,18.1,0.5,1,3.7,73,
Europe,,,Latvia,6.2,54.6,44.6,874.2,1589.7,0,3.2,4.8,67.6,100,100
Asia,,,Lebanon,8,52.1,32.1,662.1,1147.4,0.8,2.3,2.6,87.4,100,
,,,,8.1,63.8,18.9,85.5,242.7,17.3,0.1,0.7,0.6,43.3,
Africa,,,Liberia,9.6,14.2,47.3,68.3,133.1,30.1,0,0.1,0.6,24.6,
Africa,,,Libya,,,,,,,2.2,6.7,,,
Europe,,,Liechtenstein,,,,,,,,,71.9,100,
Europe,,,Lithuania,6.7,65.6,32.3,987.9,1978.3,1,4.3,7.9,130.9,100,100
Europe,,,Luxembourg,6.2,81.2,11.2,6271.4,6374.2,1.2,3,12.3,80.8,100,100
Africa,,,Madagascar,6,47.7,22.4,24.1,90.4,25.1,0.2,0.1,0.8,83,
,,,,9.8,28,11.4,29.6,115.2,53.8,0,0.3,0.4,67.2,
Asia,,,Malaysia,3.8,50.5,37.6,361.5,1052.5,0,1.5,4.1,11.4,,56
Asia,,,Maldives,10.6,72.6,19.1,1047.8,1628.5,0.5,1,4,4.8,98.8,84
Africa,,,Mali,3.8,31.6,35.3,29.8,81.2,32.2,0.1,0.4,1.1,86.7,
Europe,,,Malta,9.3,63.1,34.8,2327.8,3511.1,0,3.8,9,113.5,100,99.9
,,,,23.3,52.6,9,851.3,934.4,35.4,0.5,3.5,15.9,84,
Africa,,,Mauritania,4.2,36.7,50.9,46.8,163.9,8.2,0.2,1,,66,
Africa,,,Mauritius,5.7,44.1,48.2,553.1,1206.7,0.2,2,3.4,17.6,,100
North America,,,Mexico,5.5,52.1,40.4,461.8,971.8,,2.2,2.9,,95,99
,,,,12.6,27.8,2.6,386.7,431.6,69.2,0.2,3.3,7,,
Oceania,,,Moldova,9,48.8,46.3,171.2,480.4,3.7,3.2,4.5,86.1,100,90
Europe,,,Monaco,1.7,79.6,7.1,2939.8,3019.1,,6.6,20.3,195.6,100,80
Asia,,,Mongolia,3.8,56.7,35.9,140.7,466.7,3.9,2.9,4,45,99,92
Europe,,,Montenegro,7.6,75,24.1,531.7,1333.9,0.4,2.3,5.7,64.1,99,100
Africa,,,Morocco,5.8,46.9,48.6,171.5,465.7,0.7,0.7,1.1,3.7,96,24.3
Africa,,,Mozambique,5.1,53.3,7.7,19.2,61.6,38.1,0.1,0.4,0.5,55,
,,,,5.1,20.1,74,62.1,291.1,5.9,0.9,1,2.4,81.3,
Africa,,,Namibia,9.1,61.9,7.7,402.8,969.3,7,0.4,2.8,6.1,78,
Asia,,,Nepal,6.3,18.6,55.4,45.5,156,11.7,0.7,2.7,3,56.2,
Europe,,,Netherlands,10.4,81,11.5,4742,5251.2,0,3.5,11.1,49,100,100
Europe,,,France,,,,,,,,,,,
Oceania,,,New Zealand,9.2,78.7,13.6,3745.2,3664.7,0,3,11,43,100,100
North America,,,Nicaragua,8.7,61.3,32.2,188.2,484.5,4.6,1,1.6,15.5,85,68
Africa,,,Niger,6.2,24.3,58.5,22.7,61.4,13,0.1,0.3,0.4,63.9,
Africa,,,Nigeria,3.6,13,75.2,79.3,213.7,9.8,0.4,1.5,1.4,47,
Europe,,,North Macedonia,6.3,63.6,35.4,327.8,934.6,0.7,2.9,3.8,61.2,100,100
,,,,,,,,,,,,,,
Europe,,,Norway,10.5,85.1,14.5,7477.9,6203.5,0,4.6,18.1,67.2,100,100
Asia,,,Oman,4.3,89.1,5.9,648.3,2826.8,0,2,4.3,30.5,100,87
Asia,,,Pakistan,2.8,27.9,65.2,39.6,144.1,4.1,1,0.5,5.5,42.2,
,,,,11.7,59.8,14.5,1674.1,1891.9,15.4,1.2,5.3,,,
North America,,,Panama,7.3,65.6,27.4,1040.7,1750.3,0.7,1.6,1.4,26.2,96,90
Oceania,,,Papua New Guinea,2,70,7.9,55.2,92.3,22.1,0.1,0.5,2.3,,
South America,,,Paraguay,8,51.6,37.9,327.2,767.8,0,1.4,1.2,20.5,69,81
South America,,,Peru,5.1,64.1,28.3,316.4,681,0.3,1.3,1.4,42.9,98,69
Asia,,,Philippines,4.4,31.5,53.9,129.4,342.3,2.2,1.3,0.2,9.6,91.8,90
Europe,,,Poland,6.5,69.7,22.9,809,1784.4,0.2,2.4,5.7,67.9,100,100
Europe,,,Portugal,9.1,66.4,27.8,1800.9,2778.4,,3.3,6.4,86.1,100,100
South America,,,US,,,,,,,,,,,
Asia,,,Qatar,3.1,81.6,8.6,1827.1,3926.1,0,0,6.6,14.5,100,77
Europe,,,Romania,5,78.2,20.7,476.4,1152.2,0,2.3,6.1,60.5,,100
Europe,,,Russia,5.3,57,40.5,469.1,1329.3,,4,8.6,63.1,100,100
Africa,,,Rwanda,6.8,33.9,6.4,48.1,130.4,50.6,0.1,0.8,0.8,56,
,,,,5.5,76.4,11.9,227.1,352.8,10.8,0.3,1.9,1.6,59,
Europe,,,San Marino,6.4,80.4,18.8,3012.8,3832,,6.1,8.8,112.9,100,
,,,,6,39.9,14.4,105.1,196.9,44.6,0.3,2.3,,95,
Asia,,,Saudi Arabia,5.7,67.8,14.3,1147.3,3117.2,0,2.4,5.7,,,51
Africa,,,Senegal,5.5,34.6,51.8,52.6,141.7,6.2,0.1,0.3,1.1,77.4,
Europe,,,Serbia,9.1,58,40.5,494.4,1322.6,0.1,3.1,6.1,86.7,99,90
Africa,,,Seychelles,3.9,96,2.1,596.9,1122.6,1.9,0.9,3.3,48.6,,100
,,,,16.5,11.2,41.6,86.3,244,41,0,1,0.1,81,
Asia,,,Singapore,4.5,54.5,31.2,2462.4,4083.8,0,2.3,7.2,31.5,,74
Europe,,,Netherlands,,,,,,,,,,,
Europe,,,Slovakia,7.1,79.8,17.8,1178.7,2172.2,0,2.5,9.2,53.9,100,100
Europe,,,Slovenia,8.5,72.3,12,1834.2,2772.2,,3,9.7,66.7,100,100
,,,,5.2,69.2,4.6,106.3,117.8,26.2,0.2,2.1,2.5,88,
Africa,,,Somalia,,,,,,,0,0.1,0.2,,
Africa,,,South Africa,8.1,53.7,7.8,428.2,1071.3,1.9,0.9,3.5,11.4,89,91
,,,,,,,,,,,,0.3,35,
Europe,,,Spain,9,71.2,23.8,2389.9,3259.8,,4.1,5.5,79.9,100,100
Asia,,,Sri Lanka,3.9,43.1,50.1,153.1,491.5,1.1,1,2.1,2.8,,
North America,,,Saint Kitts and Nevis,5.7,43.2,51.5,930.8,1479.6,0,2.5,4,33.5,,79
North America,,,Saint Lucia,5.3,42,48.7,489.8,677.4,3.7,0.1,1.6,23.6,92,85
Europe,,,France,,,,,,,,,,,
North America,,,Saint Vincent and the Grenadines,3.6,76.8,20.5,250.2,409.1,0.6,0.7,2.6,23.6,,100
Africa,,,Sudan,5.7,19.5,73.9,152,297.9,2.2,0.4,0.8,2.7,67,
South America,,,Suriname,6.1,69.4,21.8,356.1,907.6,1.4,1.2,4.1,,99,100
Europe,,,Sweden,10.9,83.5,15.2,5710.6,5386.7,,5.4,11.5,113.1,100,100
Europe,,,Switzerland,12.2,62.8,29.6,9836,7867.4,,4.2,17.3,94.8,100,100
Europe,,,Syria,,,,,,,1.2,1.5,,,92
,,,,7,28.6,66.1,55.7,208.5,5.1,1.7,5.2,41.7,95.8,
Asia,,,Tanzania,4.1,40.6,21.9,35.5,112,36.4,0,0.4,0.5,26.4,
Asia,,,Thailand,3.7,78.1,12.1,221.9,635,0.2,0.8,3,13.1,100,
Asia,,,Timor-Leste,4,55.8,8.9,79.9,121.7,31.6,0.7,1.7,0.9,60.4,
Africa,,,Togo,6.6,20,50.4,38.8,99.9,20.7,0,0.3,0.5,78,
,,,,5.3,65.9,11,203.2,311.4,19.4,0.5,3.9,14,93,
North America,,,Trinidad and Tobago,6.5,52.8,40.1,1063.8,2180.5,0.1,2.7,3.5,30.9,97,85
Africa,,,Tunisia,7,56.6,39.9,256.5,806.3,0.1,1.3,2.6,11.5,99,37
Asia,,,Turkey,4.3,78.4,16.5,468.6,1089.2,,1.8,2.6,47.6,99,78
,,,,6.6,18.5,76.2,422.8,1116.9,0.2,2.2,4.6,58.8,100,
,,,,,,,,,,,,,,
,,,,15.5,84.5,0.7,507.4,601,12.2,0.9,3.8,26.1,,
Africa,,,Uganda,6.2,16.6,40.3,37.6,117.1,40.4,0.1,0.6,1.1,32.2,
Europe,,,Ukraine,6.7,42.4,54.3,141.2,534.2,0.8,3,7.1,86.6,100,99
Asia,,,United Arab Emirates,3.5,72.5,18.6,1323.1,2546.2,0,2.4,5.6,,100,87
Asia,,,United Kingdom,9.8,80.2,15.1,3958,4177.8,0,2.8,8.3,133.3,100,100
South America,,,US,17.1,81.8,11.1,9869.7,9869.7,0,2.6,8.6,54.7,100,98
South America,,,Uruguay,9.1,71.7,17.4,1379.1,1958.9,0,5,1.9,38.9,100,99
Asia,,,Uzbekistan,6.3,46.1,52.2,135.1,416.9,1.2,2.4,12.1,50.4,,
,,,,3.7,53.9,8.4,109.8,116.1,34.6,0.2,1.4,3.2,43,
Oceania,,,Venezuela,3.2,24.1,40,1578.4,940,0,,,18.1,81,100
Asia,,,Vietnam,5.7,47.4,44.6,122.8,356.3,2.3,0.8,1.4,,96,
South America,,,US,,,,,,,,,,,
,,,,,,,,,,,,,96,
,,,,5.6,10.2,81,72,144.5,7.8,0.3,0.7,0.8,30.7,
Africa,,,Zambia,4.5,38.3,12.1,56.5,175.2,42.5,0.1,0.9,1.5,11.3,
Africa,,,Zimbabwe,9.4,46.5,21.2,93.9,185,25.4,0.1,1.2,1.6,38,
