continent,reg1,reg2,country,exp_pct_gdp,exp_public_pct,exp_out_pocket,exp_per_capita,exp_per_ppp,ext_health_exp,phys_per_1000,nurse_per_1000,surgical_per_1000,birth_reg,death_reg,pop,total_per_capita,total_per_ppp
Africa,Sub-Saharan Africa,Eastern Africa,Comoros,7.6,14.6,73.1,59,115.8,10.8,0.2,0.9,,87.3,,758316,44740644,87812992.8
Africa,Sub-Saharan Africa,Middle Africa,Congo,3.9,12.3,37.4,20.5,34.5,43.4,0.1,0.5,0.2,24.6,,5970000,122385000,205965000
North America,Latin America and the Caribbean,Central America,Costa Rica,7.6,74.8,22.1,888.9,1248.5,0.3,1.1,0.8,25.5,100,91,5163038,4589424478,6446052943
Europe,,Southern Europe,Croatia,7.2,78.2,15.4,884.5,1705.2,,3,8.1,81.2,100,100,3871833,3424636289,6602249632
North America,Latin America and the Caribbean,Caribbean,Cuba,12.2,89.6,10.3,970.6,2457.7,0.1,8.2,7.8,100.9,100,98,11113215,10786486479,27312948506
Asia,,Western Asia,Cyprus,6.9,42.2,44.9,1634.4,2270.8,1.2,2,5.3,84.4,100,86,918100,1500542640,2084821480
Europe,,Eastern Europe,Czech,7.1,81.9,15,1321.6,2484.6,,4.3,8.4,124.5,100,100,10526937,13912399939,26155227670
Europe,,Northern Europe,Denmark,10.4,84.1,13.7,5565.6,5093,,4.5,10.3,69,100,98,5928364,32994902678,30193157852
Africa,Sub-Saharan Africa,Eastern Africa,Djibouti,3.5,45.8,25.8,70.2,122.1,27.8,0.2,0.5,4.4,,,976107,68522711.4,119182664.7
North America,Latin America and the Caribbean,Caribbean,Dominica,5.3,64.3,29.1,419.4,580.7,5.4,1.1,5.9,11.3,,100,73000,30616200,42391100
North America,Latin America and the Caribbean,Caribbean,Dominican Republic,6.2,45.7,44.6,414.2,936.8,0.6,1.6,0.3,,88,56.9,10535535,4363818597,9869689188
South America,Latin America and the Caribbean,South America,Ecuador,8.4,51.2,40.5,504.8,942.9,0.4,2.1,1.2,59.4,82,80,18157736,9166025133,17120929274
Africa,,Northern Africa,Egypt,4.6,29.3,62,131,516.3,1,0.8,1.4,50.1,99.4,95,104401352,13676577112,53902418038
North America,Latin America and the Caribbean,Central America,El Salvador,7,64.5,27.2,293.9,599.5,2.3,1.6,2.3,22.3,99,78,6825935,2006142297,4092148033
Africa,Sub-Saharan Africa,Middle Africa,Equatorial Guinea,3.4,23.5,72.8,281.4,838.7,1.2,0.4,0.5,,54,,1505588,423672463.2,1262736656
Africa,Sub-Saharan Africa,Eastern Africa,Eritrea,3,29.2,59.1,29.9,55.3,11.7,,,0.4,,,3684000,110151600,203725200
Europe,,Northern Europe,Estonia,6.7,75.4,22.7,1185.3,1987.7,0.2,3.5,6.5,65,100,100,1331796,1578577799,2647210909
Africa,Sub-Saharan Africa,Southern Africa,Eswatini,7.7,69.3,9.9,220.6,663.3,13.8,0.1,2,0.2,54,,1202000,265161200,797286600
Africa,Sub-Saharan Africa,Eastern Africa,Ethiopia,4,27.6,37.4,27.5,69.5,15.3,0.1,0.8,0.5,2.7,,105163988,2892009670,7308897166
Oceania,,Melanesia,Fiji,3.5,63.9,20.6,179.9,313.2,3.1,0.8,2.9,5.4,,100,898402,161622519.8,281379506.4
Europe,,Northern Europe,Finland,9.5,77.4,20.4,4117.3,4112.1,0,3.8,14.7,76.3,100,100,5528796,22763711771,22734962032
Europe,,Western Europe,France,11.5,82.9,9.8,4263.4,4782.3,0,3.2,9.7,58.6,100,100,68042591,290092782469,325400082939
Africa,Sub-Saharan Africa,Middle Africa,Gabon,3.1,64.6,22.5,220.4,555.6,0.9,0.4,2.6,,89.6,,2233272,492213148.8,1240805923
Africa,Sub-Saharan Africa,Western Africa,Gambia,4.4,18.6,23.6,20.9,74.3,43.8,0.1,1.6,1.8,72,,2706000,56555400,201055800
Asia,,Western Asia,Georgia,8.4,36.6,55.6,308,797.2,2.3,5.1,4.1,130.4,100,98,3688600,1136088800,2940551920
Europe,,Western Europe,Germany,11.1,84.7,12.4,4714.3,5463.3,,4.2,13.2,108,100,100,84270625,397277007438,460395705563
Africa,Sub-Saharan Africa,Western Africa,Ghana,4.4,38.4,37.8,67.5,189.4,12.8,0.2,1.2,,70.5,,30832019,2081161283,5839584399
Europe,,Southern Europe,Greece,8.5,60.7,34.3,1510.7,2261.2,0.3,4.6,3.4,163.5,100,100,10432481,15760349047,23589926037
North America,Latin America and the Caribbean,Caribbean,Grenada,5.2,41.3,57.8,516.4,745.1,0.9,1.4,3.1,12.6,,100,125000,64550000,93137500
North America,Latin America and the Caribbean,Central America,Guatemala,5.8,37.2,53.3,241.4,462.4,0.9,0.4,0.9,3.4,96,92,17109746,4130292684,7911546550
Africa,Sub-Saharan Africa,Western Africa,Guinea,5.5,12.3,49.8,37.5,107.7,27.2,0.1,0.4,,62,,12907395,484027312.5,1390126442
Africa,Sub-Saharan Africa,Western Africa,Guinea-Bissau,6.1,44.3,35.4,39.1,98,20.3,0.2,1.4,,24,,1646077,64361610.7,161315546
South America,Latin America and the Caribbean,South America,Guyana,4.2,58.9,35.1,192.3,332.7,5.9,0.8,1.3,8.8,89,81,743699,143013317.7,247428657.3
North America,Latin America and the Caribbean,Caribbean,Haiti,5.4,15.3,41.7,37.7,95.4,38.4,0.2,0.7,5.9,84.8,,11743017,442711740.9,1120283822
North America,Latin America and the Caribbean,Central America,Honduras,8.4,45.9,45,199.6,400.3,3.1,0.3,0.9,13.7,93.6,17,9546178,1905417129,3821335053
Europe,,Eastern Europe,Hungary,7.4,65.9,29.7,942.6,1963.2,0,3.2,6.6,55.7,100,100,9678000,9122482800,18999849600
Europe,,Northern Europe,Iceland,8.3,81.5,16.9,5063.6,4245.1,0,4,15.7,101.6,100,100,385230,1950650628,1635339873
Asia,,Southern Asia,India,3.7,25.4,64.6,62.7,241.5,1,0.8,2.1,6.8,79.7,,1375586000,86249242200,332204019000
Asia,,South-eastern Asia,Indonesia,3.1,44.7,37.3,111.6,362.7,0.4,0.4,2.1,,72,,275773800,30776356080,100023157260
Asia,,Southern Asia,Iran,8.1,54.5,38.8,415.4,1563.8,0,1.1,1.9,5,99,,86160207,35790949988,134737331707
Asia,,Western Asia,Iraq,3.3,21.1,78.5,152.6,493.7,0.4,0.8,1.7,7.6,99,65,41190700,6285700820,20335848590
Europe,,Northern Europe,Ireland,7.4,72.1,13,4758.6,5299.7,0,3.1,14.3,72,100,100,5123536,24380858410,27153203739
Asia,,Western Asia,Israel,7.3,62.5,23,2837.1,2843,1.5,3.2,5.2,75.6,100,100,9672320,27441339072,27498405760
Europe,,Southern Europe,Italy,8.9,74.5,23.1,2738.7,3427.3,,4.1,5.9,142.4,100,100,58887359,161274810093,201824645501
North America,Latin America and the Caribbean,Caribbean,Jamaica,6.1,60.6,22.4,296.2,535.7,1.2,1.3,1.1,11.2,98,,2734093,809838346.6,1464653620
Asia,,Eastern Asia,Japan,10.9,83.6,13.5,4233,4592.4,0,2.4,11.5,37.4,100,100,124770000,528151410000,572993748000
Asia,,Western Asia,Jordan,5.5,63.2,28,223.5,494.8,5.7,2.3,3.4,24.5,98,65,11400184,2547941124,5640811043
Asia,,Central Asia,Kazakhstan,3.5,58.8,35.6,262,858.8,1.2,3.3,8.5,73.2,100,91,19404496,5083977952,16664581165
Africa,Sub-Saharan Africa,Eastern Africa,Kenya,4.5,36.2,27.7,66.2,143.5,19.5,0.2,1.5,2.4,66.9,,47564296,3148756395,6825476476
Asia,,Eastern Asia,Korea,7.3,59.2,33.3,2043.9,2711.7,0,2.4,7,49.6,,99,51439038,105136249768,139487239345
Asia,,Western Asia,Kuwait,3.9,83.9,16.1,1068.3,2899.3,0,2.6,7,,,95,4670713,4989722698,13541798201
Asia,,Central Asia,Kyrgyzstan,6.6,39.1,57.6,72.9,240.2,3.3,1.9,6.4,50.1,98,96,7000000,510300000,1681400000
Europe,,Northern Europe,Latvia,6.2,54.6,44.6,874.2,1589.7,0,3.2,4.8,67.6,100,100,1895400,1656958680,3013117380
Asia,,Western Asia,Lebanon,8,52.1,32.1,662.1,1147.4,0.8,2.3,2.6,87.4,100,,5490000,3634929000,6299226000
Africa,Sub-Saharan Africa,Western Africa,Liberia,9.6,14.2,47.3,68.3,133.1,30.1,0,0.1,0.6,24.6,,4661010,318346983,620380431
Europe,,Northern Europe,Lithuania,6.7,65.6,32.3,987.9,1978.3,1,4.3,7.9,130.9,100,100,2839020,2804667858,5616433266
Europe,,Western Europe,Luxembourg,6.2,81.2,11.2,6271.4,6374.2,1.2,3,12.3,80.8,100,100,645397,4047542746,4113889557
Africa,Sub-Saharan Africa,Eastern Africa,Madagascar,6,47.7,22.4,24.1,90.4,25.1,0.2,0.1,0.8,83,,26923353,648852807.3,2433871111
Asia,,South-eastern Asia,Malaysia,3.8,50.5,37.6,361.5,1052.5,0,1.5,4.1,11.4,,56,32768200,11845704300,34488530500
Asia,,Southern Asia,Maldives,10.6,72.6,19.1,1047.8,1628.5,0.5,1,4,4.8,98.8,84,383135,401448853,623935347.5
Africa,Sub-Saharan Africa,Western Africa,Mali,3.8,31.6,35.3,29.8,81.2,32.2,0.1,0.4,1.1,86.7,,22594000,673301200,1834632800
Europe,,Southern Europe,Malta,9.3,63.1,34.8,2327.8,3511.1,0,3.8,9,113.5,100,99.9,519562,1209436424,1824234138
Africa,Sub-Saharan Africa,Western Africa,Mauritania,4.2,36.7,50.9,46.8,163.9,8.2,0.2,1,,66,,4271197,199892019.6,700049188.3
Africa,Sub-Saharan Africa,Eastern Africa,Mauritius,5.7,44.1,48.2,553.1,1206.7,0.2,2,3.4,17.6,,100,1266334,700409335.4,1528085238
North America,Latin America and the Caribbean,Central America,Mexico,5.5,52.1,40.4,461.8,971.8,,2.2,2.9,,95,99,128665641,59417793014,125037269924
Europe,,Eastern Europe,Moldova,9,48.8,46.3,171.2,480.4,3.7,3.2,4.5,86.1,100,90,2597100,444623520,1247646840
Europe,,Western Europe,Monaco,1.7,79.6,7.1,2939.8,3019.1,,6.6,20.3,195.6,100,80,39150,115093170,118197765
Asia,,Eastern Asia,Mongolia,3.8,56.7,35.9,140.7,466.7,3.9,2.9,4,45,99,92,3480555,489714088.5,1624375019
Europe,,Southern Europe,Montenegro,7.6,75,24.1,531.7,1333.9,0.4,2.3,5.7,64.1,99,100,617683,328422051.1,823927353.7
Africa,,Northern Africa,Morocco,5.8,46.9,48.6,171.5,465.7,0.7,0.7,1.1,3.7,96,24.3,36856682,6320920963,17164156807
Africa,Sub-Saharan Africa,Eastern Africa,Mozambique,5.1,53.3,7.7,19.2,61.6,38.1,0.1,0.4,0.5,55,,31616078,607028697.6,1947550405
Africa,Sub-Saharan Africa,Southern Africa,Namibia,9.1,61.9,7.7,402.8,969.3,7,0.4,2.8,6.1,78,,2550226,1027231033,2471934062
Asia,,Southern Asia,Nepal,6.3,18.6,55.4,45.5,156,11.7,0.7,2.7,3,56.2,,29192480,1328257840,4554026880
Europe,,Western Europe,Netherlands,10.4,81,11.5,4742,5251.2,0,3.5,11.1,49,100,100,17792160,84370422720,93430190592
Oceania,,Australia and New Zealand,New Zealand,9.2,78.7,13.6,3745.2,3664.7,0,3,11,43,100,100,5140391,19251792373,18837990898
North America,Latin America and the Caribbean,Central America,Nicaragua,8.7,61.3,32.2,188.2,484.5,4.6,1,1.6,15.5,85,68,6595674,1241305847,3195604053
Africa,Sub-Saharan Africa,Western Africa,Niger,6.2,24.3,58.5,22.7,61.4,13,0.1,0.3,0.4,63.9,,24112753,547359493.1,1480523034
Africa,Sub-Saharan Africa,Western Africa,Nigeria,3.6,13,75.2,79.3,213.7,9.8,0.4,1.5,1.4,47,,218541000,17330301300,46702211700
Europe,,Southern Europe,North Macedonia,6.3,63.6,35.4,327.8,934.6,0.7,2.9,3.8,61.2,100,100,1832696,600757748.8,1712837682
Europe,,Northern Europe,Norway,10.5,85.1,14.5,7477.9,6203.5,0,4.6,18.1,67.2,100,100,5475240,40943297196,33965651340
Asia,,Western Asia,Oman,4.3,89.1,5.9,648.3,2826.8,0,2,4.3,30.5,100,87,4527446,2935143242,12798184353
Asia,,Southern Asia,Pakistan,2.8,27.9,65.2,39.6,144.1,4.1,1,0.5,5.5,42.2,,235825000,9338670000,33982382500
North America,Latin America and the Caribbean,Central America,Panama,7.3,65.6,27.4,1040.7,1750.3,0.7,1.6,1.4,26.2,96,90,4278500,4452634950,7488658550
Oceania,,Melanesia,Papua New Guinea,2,70,7.9,55.2,92.3,22.1,0.1,0.5,2.3,,,9122994,503589268.8,842052346.2
South America,Latin America and the Caribbean,South America,Paraguay,8,51.6,37.9,327.2,767.8,0,1.4,1.2,20.5,69,81,7353038,2405914034,5645662576
South America,Latin America and the Caribbean,South America,Peru,5.1,64.1,28.3,316.4,681,0.3,1.3,1.4,42.9,98,69,33396698,10566715247,22743151338
Asia,,South-eastern Asia,Philippines,4.4,31.5,53.9,129.4,342.3,2.2,1.3,0.2,9.6,91.8,90,113040260,14627409644,38693680998
Europe,,Eastern Europe,Poland,6.5,69.7,22.9,809,1784.4,0.2,2.4,5.7,67.9,100,100,37785000,30568065000,67423554000
Europe,,Southern Europe,Portugal,9.1,66.4,27.8,1800.9,2778.4,,3.3,6.4,86.1,100,100,10344802,18629953922,28741997877
Asia,,Western Asia,Qatar,3.1,81.6,8.6,1827.1,3926.1,0,0,6.6,14.5,100,77,2799202,5114421974,10989946972
Europe,,Eastern Europe,Romania,5,78.2,20.7,476.4,1152.2,0,2.3,6.1,60.5,,100,19053815,9077237466,21953805643
Europe,,Eastern Europe,Russia,5.3,57,40.5,469.1,1329.3,,4,8.6,63.1,100,100,146424729,68687840374,194642392260
Africa,Sub-Saharan Africa,Eastern Africa,Rwanda,6.8,33.9,6.4,48.1,130.4,50.6,0.1,0.8,0.8,56,,12955768,623172440.8,1689432147
Europe,,Southern Europe,San Marino,6.4,80.4,18.8,3012.8,3832,,6.1,8.8,112.9,100,,33785,101787448,129464120
Asia,,Western Asia,Saudi Arabia,5.7,67.8,14.3,1147.3,3117.2,0,2.4,5.7,,,51,35013414,40170889882,109143814121
Africa,Sub-Saharan Africa,Western Africa,Senegal,5.5,34.6,51.8,52.6,141.7,6.2,0.1,0.3,1.1,77.4,,17223497,905955942.2,2440569525
Europe,,Southern Europe,Serbia,9.1,58,40.5,494.4,1322.6,0.1,3.1,6.1,86.7,99,90,6690887,3307974533,8849367146
Africa,Sub-Saharan Africa,Eastern Africa,Seychelles,3.9,96,2.1,596.9,1122.6,1.9,0.9,3.3,48.6,,100,100447,59956814.3,112761802.2
Asia,,South-eastern Asia,Singapore,4.5,54.5,31.2,2462.4,4083.8,0,2.3,7.2,31.5,,74,5453600,13428944640,22271411680
Europe,,Eastern Europe,Slovakia,7.1,79.8,17.8,1178.7,2172.2,0,2.5,9.2,53.9,100,100,5431344,6401925173,11797965437
Europe,,Southern Europe,Slovenia,8.5,72.3,12,1834.2,2772.2,,3,9.7,66.7,100,100,2108977,3868285613,5846506039
Africa,Sub-Saharan Africa,Southern Africa,South Africa,8.1,53.7,7.8,428.2,1071.3,1.9,0.9,3.5,11.4,89,91,60604992,25951057574,64926127930
Europe,,Southern Europe,Spain,9,71.2,23.8,2389.9,3259.8,,4.1,5.5,79.9,100,100,47615034,113795169757,155215487833
Asia,,Southern Asia,Sri Lanka,3.9,43.1,50.1,153.1,491.5,1.1,1,2.1,2.8,,,22181000,3395911100,10901961500
North America,Latin America and the Caribbean,Caribbean,Saint Kitts and Nevis,5.7,43.2,51.5,930.8,1479.6,0,2.5,4,33.5,,79,48000,44678400,71020800
North America,Latin America and the Caribbean,Caribbean,Saint Lucia,5.3,42,48.7,489.8,677.4,3.7,0.1,1.6,23.6,92,85,178696,87525300.8,121048670.4
North America,Latin America and the Caribbean,Caribbean,Saint Lucia,5.3,42,48.7,489.8,677.4,3.7,0.1,1.6,23.6,92,85,178696,87525300.8,121048670.4
Africa,,Northern Africa,Sudan,5.7,19.5,73.9,152,297.9,2.2,0.4,0.8,2.7,67,,45125635,6859096520,13442926667
South America,Latin America and the Caribbean,South America,Suriname,6.1,69.4,21.8,356.1,907.6,1.4,1.2,4.1,,99,100,598000,212947800,542744800
Europe,,Northern Europe,Sweden,10.9,83.5,15.2,5710.6,5386.7,,5.4,11.5,113.1,100,100,10520558,60078698515,56671089779
Europe,,Western Europe,Switzerland,12.2,62.8,29.6,9836,7867.4,,4.2,17.3,94.8,100,100,8789726,86455744936,69152290332
Africa,Sub-Saharan Africa,Eastern Africa,Tanzania,4.1,40.6,21.9,35.5,112,36.4,0,0.4,0.5,26.4,,61741120,2191809760,6915005440
Asia,,South-eastern Asia,Thailand,3.7,78.1,12.1,221.9,635,0.2,0.8,3,13.1,100,,66890442,14842989080,42475430670
Asia,,South-eastern Asia,Timor,4,55.8,8.9,79.9,121.7,31.6,0.7,1.7,0.9,60.4,,1317780,105290622,160373826
Africa,Sub-Saharan Africa,Western Africa,Togo,6.6,20,50.4,38.8,99.9,20.7,0,0.3,0.5,78,,7886000,305976800,787811400
North America,Latin America and the Caribbean,Caribbean,Trinidad and Tobago,6.5,52.8,40.1,1063.8,2180.5,0.1,2.7,3.5,30.9,97,85,1367558,1454808200,2981960219
Africa,,Northern Africa,Tunisia,7,56.6,39.9,256.5,806.3,0.1,1.3,2.6,11.5,99,37,11803588,3027620322,9517233004
Asia,,Western Asia,Turkey,4.3,78.4,16.5,468.6,1089.2,,1.8,2.6,47.6,99,78,84680273,39681175928,92233753352
Africa,Sub-Saharan Africa,Eastern Africa,Uganda,6.2,16.6,40.3,37.6,117.1,40.4,0.1,0.6,1.1,32.2,,42885900,1612509840,5021938890
Europe,,Eastern Europe,Ukraine,6.7,42.4,54.3,141.2,534.2,0.8,3,7.1,86.6,100,99,41130432,5807616998,21971876774
Asia,,Western Asia,United Arab Emirates,3.5,72.5,18.6,1323.1,2546.2,0,2.4,5.6,,100,87,9282410,12281556671,23634872342
Europe,,Northern Europe,United Kingdom,9.8,80.2,15.1,3958,4177.8,0,2.8,8.3,133.3,100,100,67026292,265290063736,280022442718
North America,Northern America,Northern America,US,17.1,81.8,11.1,9869.7,9869.7,0,2.6,8.6,54.7,100,98,334233854,3298787868824,3298787868824
South America,Latin America and the Caribbean,South America,Uruguay,9.1,71.7,17.4,1379.1,1958.9,0,5,1.9,38.9,100,99,3554915,4902583277,6963722994
Asia,,Central Asia,Uzbekistan,6.3,46.1,52.2,135.1,416.9,1.2,2.4,12.1,50.4,,,36031625,4867872538,15021584463
South America,Latin America and the Caribbean,South America,Venezuela,3.2,24.1,40,1578.4,940,0,,,18.1,81,100,28302000,44671876800,26603880000
Asia,,South-eastern Asia,Vietnam,5.7,47.4,44.6,122.8,356.3,2.3,0.8,1.4,,96,,99460000,12213688000,35437598000
Africa,Sub-Saharan Africa,Eastern Africa,Zambia,4.5,38.3,12.1,56.5,175.2,42.5,0.1,0.9,1.5,11.3,,19610769,1108008449,3435806729
Africa,Sub-Saharan Africa,Eastern Africa,Zimbabwe,9.4,46.5,21.2,93.9,185,25.4,0.1,1.2,1.6,38,,15178979,1425306128,2808111115
